"V1","V2"
4646000,5074000
4206000,4214000
4546000,4764000
4736000,5164000
4216000,4124000
4856000,5144000
4546000,4844000
4156000,4134000
4636000,5024000
4516000,4764000
4546000,4854000
4696000,5114000
4266000,4374000
4726000,4984000
4556000,4794000
4176000,4094000
4596000,4954000
4616000,5024000
4746000,5064000
4206000,4104000
4576000,4784000
4586000,4934000
4866000,5194000
4866000,5164000
4496000,4684000
4896000,5134000
4526000,4854000
4316000,4304000
4876000,5184000
4866000,5124000
4926000,5284000
4526000,4834000
4736000,5064000
4296000,4334000
4706000,4994000
4236000,4224000
4206000,4134000
4606000,4894000
4576000,4804000
4886000,5174000
4566000,4754000
4806000,5104000
4886000,5184000
4286000,4374000
4536000,4764000
4206000,4094000
4886000,5124000
4216000,4114000
4806000,5164000
4856000,5204000
4846000,5224000
4776000,5074000
4616000,4944000
4856000,5174000
4186000,4214000
4866000,5224000
4856000,5154000
4196000,4214000
4606000,4844000
4206000,4224000
4216000,4184000
4536000,4854000
4896000,5124000
4646000,4854000
4606000,4924000
4806000,5154000
4886000,5234000
4626000,4844000
4866000,5234000
4686000,4944000
4856000,5194000
4146000,4274000
4576000,4794000
4286000,4344000
4586000,4704000
4676000,4904000
4766000,5054000
4716000,5054000
4796000,5214000
4876000,5114000
4806000,5144000
4856000,5184000
4806000,5214000
4596000,4784000
4726000,5004000
4506000,4674000
4306000,4324000
4786000,5214000
4796000,5094000
4456000,4444000
4866000,5244000
4916000,5274000
4836000,5224000
4886000,5154000
4766000,5204000
4166000,4304000
4606000,4994000
4236000,4314000
4546000,4774000
4556000,4804000
4686000,4954000
4876000,5204000
4816000,5164000
4596000,4964000
4906000,5134000
4536000,4674000
4716000,5144000
4176000,4194000
4886000,5164000
4536000,4714000
4256000,4354000
4876000,5214000
4776000,5054000
4826000,5144000
4856000,5164000
4806000,5124000
4756000,5054000
4876000,5244000
4526000,4694000
4706000,5054000
4566000,4784000
4776000,5264000
4866000,5184000
4776000,5184000
4856000,5264000
4866000,5174000
4856000,5244000
4176000,4314000
4206000,4144000
4516000,4664000
4556000,4784000
4706000,4964000
4546000,4684000
4876000,5194000
4626000,4874000
4916000,5284000
4906000,5124000
4176000,4154000
4536000,4774000
4886000,5224000
4506000,4694000
4646000,5064000
4896000,5224000
4166000,4084000
4896000,5144000
4936000,5264000
4716000,5184000
4886000,5114000
4926000,5294000
4866000,5114000
4726000,5074000
4626000,5024000
4776000,5064000
4646000,5084000
4796000,5234000
4606000,4824000
4186000,4054000
4926000,5264000
4226000,4124000
4796000,5244000
4166000,4274000
4886000,5214000
4856000,5114000
4806000,5254000
4826000,5174000
4726000,4994000
4846000,5164000
4876000,5274000
4836000,5114000
4236000,4234000
4516000,4834000
4816000,5244000
4816000,5144000
4306000,4364000
4856000,5234000
4436000,4434000
4576000,4884000
4186000,4334000
4266000,4264000
4806000,5134000
4706000,5144000
4816000,5154000
4946000,5304000
4606000,4954000
4246000,4314000
4216000,4104000
4856000,5134000
4536000,4704000
4566000,4804000
4516000,4694000
4536000,4834000
4706000,5174000
4876000,5224000
4896000,5184000
4616000,4954000
4156000,4044000
4876000,5234000
4446000,4434000
4536000,4684000
4576000,4684000
4596000,4774000
4646000,4964000
4886000,5194000
4226000,4364000
4216000,4134000
4896000,5154000
4606000,4814000
4606000,4784000
4826000,5134000
4886000,5204000
4896000,5214000
4736000,5184000
4536000,4724000
4246000,4354000
4856000,5124000
4896000,5234000
4546000,4804000
4316000,4354000
4736000,4984000
4836000,5164000
4906000,5144000
4816000,5234000
4626000,4784000
4716000,4994000
4846000,5114000
4656000,4874000
4536000,4664000
4256000,4314000
4856000,5254000
4576000,4924000
4546000,4674000
4686000,4914000
4796000,5074000
4496000,4834000
4226000,4114000
4826000,5154000
4896000,5164000
4816000,5114000
4206000,4364000
4586000,4884000
4606000,5004000
4246000,4334000
4616000,4804000
4596000,4764000
4916000,5124000
4566000,4794000
4256000,4334000
4436000,4444000
4676000,4894000
4526000,4714000
4816000,5104000
4296000,4354000
4636000,4974000
4956000,5244000
4436000,4424000
4866000,5254000
5056000,5354000
4546000,4794000
4536000,4694000
4766000,5194000
4446000,4424000
4526000,4734000
4896000,5114000
4896000,5174000
4236000,4204000
4216000,4154000
4236000,4354000
4226000,4314000
4496000,4704000
4696000,4914000
4216000,4094000
4456000,4434000
4266000,4254000
4906000,5154000
4636000,4964000
4556000,4654000
4886000,5104000
4146000,4044000
4916000,5264000
4946000,5274000
4806000,5074000
4816000,5304000
4466000,4434000
4116000,4104000
4916000,5134000
4606000,4834000
4916000,5294000
4686000,4854000
4826000,5114000
4546000,4864000
4706000,5134000
4786000,5064000
4516000,4864000
4576000,4774000
4816000,5134000
4846000,5124000
4736000,5204000
4956000,5294000
4786000,5264000
4526000,4774000
4706000,4934000
4616000,4834000
4636000,4844000
4896000,5204000
4216000,4164000
4236000,4294000
4696000,5054000
4146000,4284000
4526000,4724000
4526000,4664000
4296000,4344000
4446000,4444000
4146000,4094000
4836000,5124000
4806000,5084000
4556000,4754000
4186000,4274000
4146000,4074000
4166000,4074000
4666000,5094000
4646000,4844000
4846000,5234000
4536000,4794000
4726000,4964000
4436000,4414000
4906000,5114000
4766000,5224000
4716000,5104000
4846000,5274000
4286000,4334000
4776000,5044000
4216000,4144000
4586000,4894000
5016000,5364000
4536000,4784000
4826000,5124000
4816000,5124000
4916000,5144000
4856000,5104000
4426000,4414000
4726000,5064000
4566000,4684000
4206000,4244000
4306000,4374000
5066000,5344000
4726000,5034000
4836000,5144000
4906000,5284000
4876000,5104000
4896000,5194000
4526000,4704000
4826000,5164000
4736000,4994000
4686000,5114000
4266000,4344000
4546000,4724000
4596000,4944000
4546000,4814000
4296000,4314000
4246000,4204000
4606000,4944000
4786000,5054000
4766000,5044000
4906000,5164000
4726000,4974000
4836000,5134000
4166000,4164000
4246000,4214000
4496000,4544000
4186000,4044000
4846000,5104000
4756000,5044000
4666000,4864000
4696000,4944000
4296000,4374000
5056000,5344000
4806000,5094000
4606000,4884000
4576000,4894000
4626000,4794000
4836000,5154000
4716000,5214000
4746000,5054000
4316000,4374000
4676000,4854000
4606000,4984000
4586000,4764000
4546000,4714000
4916000,5174000
4866000,5104000
4546000,4694000
4846000,5264000
4716000,5044000
4196000,4254000
4956000,5304000
4786000,5044000
4546000,4654000
5026000,5344000
4916000,5164000
4226000,4134000
4716000,5204000
4146000,4084000
4206000,4324000
4696000,4954000
4146000,4054000
4546000,4704000
4916000,5154000
4506000,4764000
4706000,5164000
4596000,4934000
4516000,4584000
4156000,4034000
5006000,5264000
4736000,4974000
4846000,5154000
4236000,4114000
4846000,5134000
4616000,4814000
4716000,4914000
4846000,5144000
4556000,4824000
4836000,5104000
4916000,5114000
4196000,4264000
4866000,5264000
4156000,4144000
4976000,5354000
4596000,4754000
4496000,4674000
4556000,4714000
4716000,5194000
4266000,4274000
4596000,4974000
4566000,4874000
4966000,5294000
4156000,4194000
4426000,4424000
5006000,5274000
4576000,4914000
4976000,5334000
4426000,4384000
4496000,4554000
4586000,4754000
4586000,4964000
4916000,5184000
4166000,4064000
4856000,5274000
4546000,4664000
4156000,4274000
4576000,4674000
4226000,4104000
4726000,5164000
4566000,4694000
4906000,5174000
4236000,4124000
4156000,4184000
4976000,5324000
4606000,4934000
4456000,4454000
4546000,4784000
4806000,5064000
4316000,4364000
4326000,4364000
4516000,4784000
4146000,4294000
4156000,4054000
4626000,4974000
4926000,5124000
4586000,4744000
4446000,4414000
4736000,5004000
4676000,4864000
4556000,4814000
4306000,4354000
4956000,5234000
4966000,5234000
4966000,5244000
4996000,5284000
4956000,5264000
4176000,4334000
5006000,5254000
4326000,4354000
4966000,5224000
4716000,5114000
4586000,4944000
4156000,4024000
4556000,4664000
5046000,5364000
4726000,5054000
4196000,4224000
4896000,5244000
4796000,5064000
4846000,5294000
4996000,5274000
4156000,4014000
4716000,4944000
4696000,4854000
4506000,4704000
4906000,5224000
4976000,5344000
4806000,5264000
4686000,4844000
4246000,4364000
4586000,4904000
4536000,4634000
4176000,4324000
4966000,5324000
4946000,5264000
4206000,4084000
4956000,5254000
4556000,4724000
4576000,4704000
4926000,5114000
4616000,4824000
4506000,4774000
4606000,4764000
4986000,5354000
4926000,5254000
4526000,4754000
4136000,4264000
4326000,4314000
4306000,4304000
4526000,4764000
4146000,4034000
4686000,5174000
4986000,5264000
4906000,5184000
4846000,5284000
4926000,5134000
4906000,5194000
4966000,5304000
4116000,4114000
4186000,4084000
4966000,5264000
4156000,4064000
4686000,5054000
4476000,4434000
4246000,4384000
4986000,5274000
4896000,5104000
4166000,4144000
4816000,5254000
4236000,4384000
4956000,5224000
4526000,4824000
4236000,4184000
4736000,5014000
4966000,5254000
4906000,5274000
4216000,4314000
4996000,5264000
4566000,4884000
4906000,5214000
4926000,5154000
4906000,5204000
4706000,5154000
4626000,4814000
4566000,4854000
4176000,4084000
4666000,4894000
5016000,5264000
4926000,5194000
4956000,5284000
4436000,4404000
4446000,4454000
4556000,4684000
4816000,5094000
4996000,5254000
4656000,4884000
4936000,5304000
4256000,4244000
4826000,5104000
4586000,4974000
4586000,4954000
4626000,4984000
4226000,4094000
4926000,5184000
4736000,5024000
4926000,5144000
4926000,5164000
5046000,5354000
4676000,5114000
4516000,4744000
4686000,4904000
4726000,4954000
4786000,5034000
4926000,5204000
4146000,4024000
4586000,4734000
4606000,5014000
4656000,4864000
4246000,4374000
4976000,5294000
4556000,4734000
4966000,5194000
4696000,4864000
4306000,4334000
4956000,5274000
4626000,4824000
4656000,4844000
4546000,4834000
4906000,5104000
4976000,5314000
4636000,4784000
4576000,4694000
4506000,4654000
4456000,4424000
5056000,5364000
4956000,5194000
4926000,5174000
4576000,4764000
5026000,5284000
4796000,5054000
4176000,4054000
4706000,4954000
5016000,5254000
4726000,4944000
4936000,5254000
4136000,4104000
4616000,4984000
4796000,5254000
4236000,4374000
4486000,4554000
4686000,4864000
4886000,5274000
